Date,Open,High,Low,Close,Volume,Currency
2021-01-15,0.03277,0.03553,0.02913,0.03401,543980864,USD
2021-01-16,0.03401,0.03636,0.03173,0.03272,440312800,USD
2021-01-17,0.03272,0.0348,0.03067,0.03416,387184928,USD
2021-01-18,0.03416,0.03774,0.0335,0.03616,412855968,USD
2021-01-19,0.03616,0.03619,0.03193,0.03236,371649472,USD
2021-01-20,0.03236,0.03471,0.03026,0.03443,425928000,USD
2021-01-21,0.03443,0.03495,0.02815,0.02861,459768704,USD
2021-01-22,0.02861,0.03293,0.02639,0.03124,348120288,USD
2021-01-23,0.03124,0.03516,0.0307,0.03403,488675616,USD
2021-01-24,0.03403,0.03517,0.03228,0.03306,287014400,USD
2021-01-25,0.03306,0.0368,0.03285,0.03286,364224544,USD
2021-01-26,0.03273,0.04466,0.03183,0.04329,1466519680,USD
2021-01-27,0.0433,0.04798,0.03755,0.04198,1323550592,USD
2021-01-28,0.04187,0.04457,0.03835,0.03869,627882048,USD
2021-01-29,0.03869,0.0432,0.03742,0.04025,711868800,USD
2021-01-30,0.04025,0.0466,0.03903,0.03995,666334720,USD
2021-01-31,0.03995,0.0403,0.03613,0.03831,355263968,USD
2021-02-01,0.03831,0.04135,0.03623,0.04092,379813984,USD
2021-02-02,0.0409,0.04136,0.03927,0.04106,244192608,USD
2021-02-03,0.04106,0.04437,0.03977,0.04377,321662208,USD
2021-02-04,0.04377,0.04961,0.03935,0.04736,570720384,USD
2021-02-05,0.04737,0.05629,0.04606,0.05476,687033728,USD
2021-02-06,0.05477,0.0555,0.0465,0.05242,524630016,USD
2021-02-07,0.05242,0.06828,0.04793,0.06707,785360384,USD
2021-02-08,0.06707,0.07999,0.06117,0.07107,1010329792,USD
2021-02-09,0.07107,0.10754,0.06922,0.09869,1110821376,USD
2021-02-10,0.09878,0.14483,0.09663,0.1163,1928469120,USD
2021-02-11,0.1163,0.13801,0.11249,0.12284,710141376,USD
2021-02-12,0.12283,0.12944,0.11365,0.12076,483973536,USD
2021-02-13,0.12077,0.12569,0.10545,0.11153,470226592,USD
2021-02-14,0.11153,0.11592,0.09456,0.10047,462885056,USD
2021-02-15,0.10047,0.11946,0.08156,0.10702,831640128,USD
